model,dataset,threshold,n,corrected,corrected_pct,accuracy,delta,net_score,fix_rate,regression_rate,cc,cw,wc,ww,baseline_acc
mistral,strategyqa,2,2290,32,1.4,62.01,0.0,0,0.0,0.0,1420,0,0,870,62.01
mistral,strategyqa,3,2290,32,1.4,62.01,0.0,0,0.0,0.0,1420,0,0,870,62.01
mistral,strategyqa,4,2290,54,2.36,62.1,0.09,2,0.23,0.0,1420,0,2,868,62.01
mistral,strategyqa,5,2290,54,2.36,62.1,0.09,2,0.23,0.0,1420,0,2,868,62.01
mistral,strategyqa,6,2290,67,2.93,62.1,0.09,2,0.23,0.0,1420,0,2,868,62.01
mistral,strategyqa,7,2290,68,2.97,62.1,0.09,2,0.23,0.0,1420,0,2,868,62.01
mistral,strategyqa,8,2290,115,5.02,61.7,-0.31,-7,0.23,0.63,1411,9,2,868,62.01
mistral,strategyqa,9,2290,257,11.22,59.61,-2.4,-55,0.57,4.23,1360,60,5,865,62.01
mistral,strategyqa,10,2290,482,21.05,55.72,-6.29,-144,1.03,10.77,1267,153,9,861,62.01
mistral,humaneval,1,164,0,0.0,17.07,0.0,0,0.0,0.0,28,0,0,136,17.07
mistral,humaneval,2,164,3,1.83,17.07,0.0,0,0.0,0.0,28,0,0,136,17.07
mistral,humaneval,3,164,5,3.05,17.68,0.61,1,0.74,0.0,28,0,1,135,17.07
mistral,humaneval,4,164,5,3.05,17.68,0.61,1,0.74,0.0,28,0,1,135,17.07
mistral,humaneval,5,164,5,3.05,17.68,0.61,1,0.74,0.0,28,0,1,135,17.07
mistral,humaneval,6,164,9,5.49,17.07,0.0,0,0.74,3.57,27,1,1,135,17.07
mistral,humaneval,7,164,9,5.49,17.07,0.0,0,0.74,3.57,27,1,1,135,17.07
mistral,humaneval,8,164,9,5.49,17.07,0.0,0,0.74,3.57,27,1,1,135,17.07
mistral,humaneval,9,164,10,6.1,17.07,0.0,0,0.74,3.57,27,1,1,135,17.07
mistral,humaneval,10,164,27,16.46,17.07,0.0,0,1.47,7.14,26,2,2,134,17.07
qwen,gsm8k,1,1319,0,0.0,73.77,0.0,0,0.0,0.0,973,0,0,346,73.77
qwen,gsm8k,2,1319,1261,95.6,68.16,-5.61,-74,1.45,8.12,894,79,5,341,73.77
qwen,gsm8k,3,1319,1263,95.75,68.01,-5.76,-76,1.45,8.32,892,81,5,341,73.77
